position	chr	start	end	length	nick_coordinates
chr1:74897-76697	chr1	74897	76697	1800	75150
chr1:440935-447357	chr1	440935	447357	6422	444812
chr1:675911-682333	chr1	675911	682333	6422	679788
chr1:11164354-11167257	chr1	11164354	11167257	2903	11164669
chr1:12907697-12910276	chr1	12907697	12910276	2579	12908791
chr1:13187504-13190819	chr1	13187504	13190819	3315	13188236
chr1:13333268-13336570	chr1	13333268	13336570	3302	13334003
chr1:13999377-14000782	chr1	13999377	14000782	1405	14000123
chr1:25058186-25061055	chr1	25058186	25061055	2869	25058487
chr1:25506585-25512707	chr1	25506585	25512707	6122	25510127
chr1:30438491-30444125	chr1	30438491	30444125	5634	30441534
chr1:30493389-30499556	chr1	30493389	30499556	6167	30496969
chr1:33671997-33678118	chr1	33671997	33678118	6121	33675532
chr1:33829520-33835665	chr1	33829520	33835665	6145	33833075
chr1:34092394-34098413	chr1	34092394	34098413	6019	34095834
chr1:34250741-34256767	chr1	34250741	34256767	6026	34254180
chr1:34955161-34957849	chr1	34955161	34957849	2688	34955229
chr1:37208029-37213389	chr1	37208029	37213389	5360	37210983
chr1:38768417-38771351	chr1	38768417	38771351	2934	38768762
chr1:40365613-40370869	chr1	40365613	40370869	5256	40368277
chr1:41133321-41134597	chr1	41133321	41134597	1276	41133857
chr1:41176264-41182362	chr1	41176264	41182362	6098	41179788
chr1:41208441-41210813	chr1	41208441	41210813	2372	41209290
chr1:41966780-41970695	chr1	41966780	41970695	3915	41968122
chr1:41990365-41994163	chr1	41990365	41994163	3798	41991572
chr1:45098521-45102052	chr1	45098521	45102052	3531	45099473
chr1:45162354-45168482	chr1	45162354	45168482	6128	45165891
chr1:45182438-45186414	chr1	45182438	45186414	3976	45183823
chr1:45284565-45290711	chr1	45284565	45290711	6146	45288125
chr1:46014596-46017900	chr1	46014596	46017900	3304	46015749
chr1:46731576-46734655	chr1	46731576	46734655	3079	46732094
chr1:46846137-46850891	chr1	46846137	46850891	4754	46849742
chr1:46879344-46882220	chr1	46879344	46882220	2876	46879639
chr1:46975973-46982143	chr1	46975973	46982143	6170	46979550
chr1:46985352-46991053	chr1	46985352	46991053	5701	46988459
chr1:47006446-47012568	chr1	47006446	47012568	6122	47009985
chr1:47153053-47158095	chr1	47153053	47158095	5042	47156622
chr1:47165924-47172061	chr1	47165924	47172061	6137	47169476
chr1:47956240-47962375	chr1	47956240	47962375	6135	47959786
chr1:48150125-48156157	chr1	48150125	48156157	6032	48153565
chr1:48277194-48283343	chr1	48277194	48283343	6149	48280757
chr1:48311588-48317689	chr1	48311588	48317689	6101	48315116
chr1:49006012-49012044	chr1	49006012	49012044	6032	49009452
chr1:49257808-49263310	chr1	49257808	49263310	5502	49260732
chr1:49618378-49620602	chr1	49618378	49620602	2224	49618541
chr1:49656160-49659021	chr1	49656160	49659021	2861	49656430
chr1:49737846-49744064	chr1	49737846	49744064	6218	49741475
chr1:49915108-49921256	chr1	49915108	49921256	6148	49918660
chr1:49934841-49940864	chr1	49934841	49940864	6023	49938420
chr1:50360654-50365607	chr1	50360654	50365607	4953	50362996
chr1:50760095-50762948	chr1	50760095	50762948	2853	50761262
chr1:51386447-51391454	chr1	51386447	51391454	5007	51388892
chr1:53004662-53010782	chr1	53004662	53010782	6120	53008203
chr1:55113127-55115236	chr1	55113127	55115236	2109	55113456
chr1:55430256-55436824	chr1	55430256	55436824	6568	55432913
chr1:55459380-55462272	chr1	55459380	55462272	2892	55459686
chr1:55763036-55766057	chr1	55763036	55766057	3021	55763470
chr1:56271000-56274836	chr1	56271000	56274836	3836	56272244
chr1:56365452-56369282	chr1	56365452	56369282	3830	56366690
chr1:56610383-56614148	chr1	56610383	56614148	3765	56611585
chr1:57563313-57568976	chr1	57563313	57568976	5663	57566850
chr1:58491106-58495424	chr1	58491106	58495424	4318	58492840
chr1:58958128-58964283	chr1	58958128	58964283	6155	58961692
chr1:59250823-59256962	chr1	59250823	59256962	6139	59254374
chr1:59368923-59375078	chr1	59368923	59375078	6155	59372483
chr1:59532995-59539008	chr1	59532995	59539008	6013	59536403
chr1:59584001-59586670	chr1	59584001	59586670	2669	59584088
chr1:59586803-59592948	chr1	59586803	59592948	6145	59590362
chr1:59610536-59616642	chr1	59610536	59616642	6106	59614072
chr1:60380609-60382800	chr1	60380609	60382800	2191	60381990
chr1:60437174-60440692	chr1	60437174	60440692	3518	60438108
chr1:60490132-60496149	chr1	60490132	60496149	6017	60493558
chr1:60511790-60514443	chr1	60511790	60514443	2653	60512719
chr1:60640012-60646037	chr1	60640012	60646037	6025	60643445
chr1:60778680-60782971	chr1	60778680	60782971	4291	60780397
chr1:63240555-63242477	chr1	63240555	63242477	1922	63240699
chr1:64273426-64279586	chr1	64273426	64279586	6160	64276995
chr1:65651682-65658083	chr1	65651682	65658083	6401	65655531
chr1:66480923-66486952	chr1	66480923	66486952	6029	66484360
chr1:66780142-66786326	chr1	66780142	66786326	6184	66783735
chr1:68893582-68896207	chr1	68893582	68896207	2625	68893642
chr1:68923486-68926929	chr1	68923486	68926929	3443	68926926
chr1:68997421-68998786	chr1	68997421	68998786	1365	68998006
chr1:69417534-69419427	chr1	69417534	69419427	1893	69419050
chr1:69445535-69448452	chr1	69445535	69448452	2917	69445881
chr1:69856212-69858412	chr1	69856212	69858412	2200	69856687
chr1:70098248-70099568	chr1	70098248	70099568	1320	70098895
chr1:70471505-70475001	chr1	70471505	70475001	3496	70472402
chr1:71109039-71112365	chr1	71109039	71112365	3326	71109777
chr1:71122338-71125014	chr1	71122338	71125014	2676	71122428
chr1:71149706-71152449	chr1	71149706	71152449	2743	71149855
chr1:71215919-71221356	chr1	71215919	71221356	5437	71218742
chr1:71513698-71519742	chr1	71513698	71519742	6044	71517150
chr1:71888203-71894235	chr1	71888203	71894235	6032	71891643
chr1:72213654-72216365	chr1	72213654	72216365	2711	72213790
chr1:72390035-72391898	chr1	72390035	72391898	1863	72391462
chr1:72815279-72815521	chr1	72815279	72815521	242	72815360
